name,slug,norm_key,agency_name,aav_aa
Dak Prescott,dak-prescott,dak prescott,Ace PR,60000000
Jordan Love,jordan-love,jordan love,Ace PR,55000000
Trevor Lawrence,trevor-lawrence,trevor lawrence,MGC Sports,55000000
Jared Goff,jared-goff,jared goff,OG1 Athletes,53000000
Brock Purdy,brock-purdy,brock purdy,Range Media Partners,53000000
Justin Herbert,justin-herbert,justin herbert,Ace PR,52500000
Lamar Jackson,lamar-jackson,lamar jackson,Lamar Jackson Enterprises,52000000
Kirk Cousins,kirk-cousins,kirk cousins,VaynerSports,45000000
Patrick Mahomes,patrick-mahomes,patrick mahomes,1UP Sports Marketing,45000000
Aidan Hutchinson,aidan-hutchinson,aidan hutchinson,VaynerSports,45000000
Ja'Marr Chase,jamarr-chase,jamarr chase,Alliance Sports,40250000
Daniel Jones,daniel-jones,daniel jones,Ace PR,40000000
Myles Garrett,myles-garrett,myles garrett,3 Arts Entertainment,40000000
Joe Burrow,joe-burrow,joe burrow,WIN Sports Group,39285714
Kyler Murray,kyler-murray,kyler murray,Roc Nation,38416667
Justin Jefferson,justin-jefferson,justin jefferson,WIN Sports Group,35000000
Ceedee Lamb,ceedee-lamb,ceedee lamb,CAA,34000000
Nick Bosa,nick-bosa,nick bosa,WIN Sports Group,34000000
Baker Mayfield,baker-mayfield,baker mayfield,WME,33333333
Garrett Wilson,garrett-wilson,garrett wilson,Excel Sports Management,32500000
Terry Mclaurin,terry-mclaurin,terry mclaurin,The Society Management,32333333
A.j. Brown,aj-brown,aj brown,CAA,32000000
Chris Jones,chris-jones,chris jones,Katz Brothers Sports,31750000
Sauce Gardner,sauce-gardner,sauce gardner,VaynerSports,30100000
Amon-Ra St. Brown,amon-ra-st-brown,amonra st brown,Excel Sports Management,30002500
Derek Stingley Jr.,derek-stingley-jr,derek stingley,Ace PR,30000000
Tyreek Hill,tyreek-hill,tyreek hill,C3 Management,30000000
Trey Hendrickson,trey-hendrickson,trey hendrickson,National Sports Agency,29000000
Tee Higgins,tee-higgins,tee higgins,Alliance Sports,28750000
Josh Hines-Allen,josh-hines-allen,josh hinesallen,WIN Sports Group,28250000
Jaylen Waddle,jaylen-waddle,jaylen waddle,WIN Sports Group,28250000
Brian Burns,brian-burns,brian burns,Athletes First,28200000
Trent Williams,trent-williams,trent williams,Elite Loyalty Sports,27553333
Dj Moore,dj-moore,dj moore,Rosenhaus Sports Representation,27500000
Christian Wilkins,christian-wilkins,christian wilkins,Athletes First,27500000
Joey Bosa,joey-bosa,joey bosa,WIN Sports Group,27000000
Lane Johnson,lane-johnson,lane johnson,1 of 1 Agency,25000000
Laremy Tunsil,laremy-tunsil,laremy tunsil,Sanders Sports & Entertainment,25000000
Nnamdi Madubuike,nnamdi-madubuike,nnamdi madubuike,WIN Sports Group,24500000
Nico Collins,nico-collins,nico collins,Rosenhaus Sports Representation,24250000
Alim Mcneill,alim-mcneill,alim mcneill,VaynerSports,24250000
Dk Metcalf,dk-metcalf,dk metcalf,SMAC Entertainment,24000000
Rashan Gary,rashan-gary,rashan gary,RG Sports,24000000
Derrick Brown,derrick-brown,derrick brown,Rosenhaus Sports Representation,24000000
Jeffery Simmons,jeffery-simmons,jeffery simmons,William Raymond Communications,23500000
Calvin Ridley,calvin-ridley,calvin ridley,Athletes First,23000000
Andrew Van Ginkel,andrew-van-ginkel,andrew van ginkel,Rosenhaus Sports Representation,23000000
Matt Gay,matt-gay,matt gay,Aura Sports Group,22500000
Jake Matthews,jake-matthews,jake matthews,Ace PR,22500000
Daron Payne,daron-payne,daron payne,WIN Sports Group,22500000
George Karlaftis,george-karlaftis,george karlaftis,WME,22000000
Davante Adams,davante-adams,davante adams,Sun West Sports,22000000
Taylor Moton,taylor-moton,taylor moton,WIN Sports Group,22000000
Leonard Williams,leonard-williams,leonard williams,Independent Sports & Entertainment,21500000
Kerby Joseph,kerby-joseph,kerby joseph,Exclusive Athletes Agency,21500000
Jalen Ramsey,jalen-ramsey,jalen ramsey,Ace PR,21175000
Stefon Diggs,stefon-diggs,stefon diggs,SMAC Entertainment,21166667
Antoine Winfield Jr.,antoine-winfield-jr,antoine winfield,Athletes First,21025000
Landon Dickerson,landon-dickerson,landon dickerson,SportsTrust Advisors,21000000
Christian Barmore,christian-barmore,christian barmore,Klutch Sports Group,20750000
Saquon Barkley,saquon-barkley,saquon barkley,LBI Entertainment,20600000
Garett Bolles,garett-bolles,garett bolles,Excel Sports Management,20500000
Mike Evans,mike-evans,mike evans,Maven Sports Group,20500000
Chris Lindstrom,chris-lindstrom,chris lindstrom,Brad Blank & Associates,20500000
Greg Rousseau,greg-rousseau,greg rousseau,Sparx Marketing Group,20000000
Chris Godwin,chris-godwin,chris godwin,CAA,20000000
Taylor Decker,taylor-decker,taylor decker,AMDG Sports,20000000
Boye Mafe,boye-mafe,boye mafe,VaynerSports,20000000
Von Miller,von-miller,von miller,Vanguard Sports Group,20000000
Ronnie Stanley,ronnie-stanley,ronnie stanley,Roc Nation,20000000
Jawaan Taylor,jawaan-taylor,jawaan taylor,Rosenhaus Sports Representation,20000000
Brandin Cooks,brandin-cooks,brandin cooks,1UP Sports Marketing,19882000
Michael Pittman,michael-pittman,michael pittman,Roc Nation,19666667
Andrew Thomas,andrew-thomas,andrew thomas,Roc Nation,19583333
Marlon Humphrey,marlon-humphrey,marlon humphrey,William Raymond Communications,19500000
Alontae Taylor,alontae-taylor,alontae taylor,The Sports & Entertainment Group,19333333
Aaron Banks,aaron-banks,aaron banks,Athletes First,19250000
Derwin James,derwin-james,derwin james,Ace PR,19133000
George Kittle,george-kittle,george kittle,JB Sports,19100000
Josh Sweat,josh-sweat,josh sweat,Rosenhaus Sports Representation,19100000
Jaylon Johnson,jaylon-johnson,jaylon johnson,Be The Best Sports Group,19000000
Jonathan Greenard,jonathan-greenard,jonathan greenard,Rosenhaus Sports Representation,19000000
Christian Mccaffrey,christian-mccaffrey,christian mccaffrey,WIN Sports Group,19000000
Alaric Jackson,alaric-jackson,alaric jackson,Goal Line Football,18766667
Tytus Howard,tytus-howard,tytus howard,First Round Management,18666667
Brian O'Neill,brian-oneill,brian oneill,Excel Sports Management,18500000
Minkah Fitzpatrick,minkah-fitzpatrick,minkah fitzpatrick,WIN Sports Group,18400000
Bradley Chubb,bradley-chubb,bradley chubb,Roc Nation,18163333
Budda Baker,budda-baker,budda baker,Ace PR,18000000
Christian Kirk,christian-kirk,christian kirk,Klutch Sports Group,18000000
Byron Murphy,byron-murphy,byron murphy,LIFT Sports Management,18000000
Khalil Mack,khalil-mack,khalil mack,WIN Sports Group,18000000
Creed Humphrey,creed-humphrey,creed humphrey,B2 Enterprises,18000000
Carlton Davis,carlton-davis,carlton davis,Ace PR,18000000
Charvarius Ward,charvarius-ward,charvarius ward,Universal Sports & Entertainment Management,18000000
Deebo Samuel,deebo-samuel,deebo samuel,Excel Sports Management,17545529
Will Fries,will-fries,will fries,JL Sports Agency,17544000
Jerry Jeudy,jerry-jeudy,jerry jeudy,Equity Sports,17500000
Joe Thuney,joe-thuney,joe thuney,VaynerSports,17500000
Terence Steele,terence-steele,terence steele,Roc Nation,17360000
Jamel Dean,jamel-dean,jamel dean,Roc Nation,17333333
Christian Benford,christian-benford,christian benford,EnterSports Management,17250000
Ben Powers,ben-powers,ben powers,Shark Sports Management,17166667
Bryce Huff,bryce-huff,bryce huff,CAA,17033333
Jonathan Allen,jonathan-allen,jonathan allen,Everett Sports Marketing (ESM),17000000
Cam Jurgens,cam-jurgens,cam jurgens,Excel Sports Management,17000000
Jonah Jackson,jonah-jackson,jonah jackson,Eastern Athletic Services,17000000
Danielle Hunter,danielle-hunter,danielle hunter,Klutch Sports Group,17000000
Ed Oliver,ed-oliver,ed oliver,WIN Sports Group,17000000
Romeo Doubs,romeo-doubs,romeo doubs,Be The Best Sports Group,17000000
Arik Armstead,arik-armstead,arik armstead,The Team,17000000
Chase Young,chase-young,chase young,Klutch Sports Group,17000000
Deforest Buckner,deforest-buckner,deforest buckner,WIN Sports Group,16800000
Denzel Ward,denzel-ward,denzel ward,3 Arts Entertainment,16750000
T.j. Hockenson,tj-hockenson,tj hockenson,"NC Sports, LLC",16500000
Trevon Diggs,trevon-diggs,trevon diggs,1UP Sports Marketing,16166667
