name,pos_group,age,apy
Dak Prescott,QB,33,60000000
Joe Burrow,QB,30,55000000
Josh Allen,QB,30,55000000
Jordan Love,QB,28,55000000
Trevor Lawrence,QB,27,55000000
Jared Goff,QB,32,53000000
Brock Purdy,QB,27,53000000
Justin Herbert,QB,28,52500000
Lamar Jackson,QB,29,52000000
Jalen Hurts,QB,28,51000000
Patrick Mahomes,QB,31,45000000
Daniel Jones,QB,29,44000000
Jaxon Smith-Njigba,WR,24,42150000
Ja'Marr Chase,WR,26,40250000
Justin Jefferson,WR,27,35000000
CeeDee Lamb,WR,27,34000000
D.K. Metcalf,WR,29,32999882
Garrett Wilson,WR,26,32500000
A.J. Brown,WR,29,32000000
Amon-Ra St. Brown,WR,27,30002500
Brandon Aiyuk,WR,28,30000000
Terry McLaurin,WR,31,29000000
Tee Higgins,WR,27,28750000
Alec Pierce,WR,26,28500000
Jaylen Waddle,WR,28,28250000
DJ Moore,WR,29,27500000
Jameson Williams,WR,25,26666667
DeVonta Smith,WR,28,25000000
Nico Collins,WR,27,24250000
Saquon Barkley,RB,29,20600000
Christian McCaffrey,RB,30,19000000
Derrick Henry,RB,32,16000000
Josh Jacobs,RB,28,12000000
James Cook,RB,26,12000000
Bijan Robinson,RB,24,8198064
Kyren Williams,RB,26,8000000
George Kittle,TE,33,19100000
Sam LaPorta,TE,25,12230976
Brock Bowers,TE,23,10568344
Mark Andrews,TE,31,14000000
Trey McBride,TE,26,16500000
Travis Kelce,TE,38,17125000
Penei Sewell,OL,25,28000000
Tristan Wirfs,OL,28,28118400
Andrew Thomas,OL,28,28000000
Trent Williams,OL,38,23010000
Laremy Tunsil,OL,33,24000000
Frank Ragnow,OL,30,14000000
Creed Humphrey,OL,27,18000000
Joel Bitonio,OL,34,15000000
Chris Lindstrom,OL,29,20500000
Landon Dickerson,OL,28,21000000
Mekhi Becton,OL,28,12500000
Myles Garrett,EDGE,30,40000000
Nick Bosa,EDGE,29,34000000
T.J. Watt,EDGE,32,28003958
Maxx Crosby,EDGE,29,35500000
Brian Burns,EDGE,28,28200000
Josh Hines-Allen,EDGE,28,28250000
Danielle Hunter,EDGE,31,17500000
Aidan Hutchinson,EDGE,26,45000000
Jonathan Greenard,EDGE,29,19000000
Aaron Donald,IDL,34,31700000
Chris Jones,IDL,32,31750000
Dexter Lawrence,IDL,28,22500000
Jeffery Simmons,IDL,28,23500000
DJ Reader,IDL,32,11000000
Roquan Smith,LB,30,20000000
Fred Warner,LB,30,21000000
Patrick Queen,LB,28,13666666
Foyesade Oluokun,LB,30,15000000
Lavonte David,LB,36,8000000
Bobby Wagner,LB,36,7500000
Jaylon Johnson,CB,28,19000000
Jaire Alexander,CB,29,21000000
Marshon Lattimore,CB,30,19400000
Patrick Surtain II,CB,26,24000000
Sauce Gardner,CB,25,30100000
Derek Stingley Jr.,CB,25,30001500
Trevon Diggs,CB,28,16800000
Antoine Winfield Jr.,S,28,21025000
Kyle Hamilton,S,25,20640000
Brian Branch,S,23,19000000
Minkah Fitzpatrick,S,29,18412500
Justin Tucker,ST,37,6000000
Harrison Butker,ST,31,6420000
Jake Elliott,ST,31,6000000
