name,slug,agency_id,agency_name,league,aav_aa
Aidan Hutchinson,aidan-hutchinson,322,VaynerSports,NFL,45000000
Alim McNeill,alim-mcneill,322,VaynerSports,NFL,24250000
Andrew Coker,andrew-coker,322,VaynerSports,NFL,0
Bam Knight,bam-knight,322,VaynerSports,NFL,0
Bam Martin-Scott,bam-martin-scott,322,VaynerSports,NFL,993333
Benjamin St-Juste,benjamin-stjuste,322,VaynerSports,NFL,1275188
Boye Mafe,boye-mafe,322,VaynerSports,NFL,20000000
Brevyn Spann-Ford,brevyn-spannford,322,VaynerSports,NFL,950000
Bucky Irving,bucky-irving,322,VaynerSports,NFL,1187888
DJ Johnson,dj-johnson,322,VaynerSports,NFL,1375747
DJ Uiagalelei,dj-uiagalelei,322,VaynerSports,NFL,0
Danny Pinter,danny-pinter,322,VaynerSports,NFL,910925
Darius Alexander,darius-alexander,322,VaynerSports,NFL,1690518
David Bell,david-bell,322,VaynerSports,NFL,1273726
Dean Lowry,dean-lowry,322,VaynerSports,NFL,2500000
Desmond Ridder,desmond-ridder,322,VaynerSports,NFL,1340740
Dontayvion Wicks,dontayvion-wicks,322,VaynerSports,NFL,1035637
Evan Engram,evan-engram,322,VaynerSports,NFL,11500000
Foye Oluokun,foye-oluokun,322,VaynerSports,NFL,7500000
Ikem Ekwonu,ikem-ekwonu,322,VaynerSports,NFL,5513610
Isaac Yiadom,isaac-yiadom,322,VaynerSports,NFL,3000000
Isaiahh Loudermilk,isaiahh-loudermilk,322,VaynerSports,NFL,950072
Jackson Hawes,jackson-hawes,322,VaynerSports,NFL,1130054
Jadarian Price,jadarian-price,322,VaynerSports,NFL,0
Joe Thuney,joe-thuney,322,VaynerSports,NFL,17500000
Jonas Sanker,jonas-sanker,322,VaynerSports,NFL,1561301
Jordan Fuller,jordan-fuller,322,VaynerSports,NFL,866428
Jordan Moore,jordan-moore,322,VaynerSports,NFL,0
Joshua Dobbs,joshua-dobbs,322,VaynerSports,NFL,4000000
Justin Walley,justin-walley,322,VaynerSports,NFL,1611004
Juwan Johnson,juwan-johnson,322,VaynerSports,NFL,10250000
KT Leveston,kt-leveston,322,VaynerSports,NFL,1025184
Kalen King,kalen-king,322,VaynerSports,NFL,840000
Kirk Cousins,kirk-cousins,322,VaynerSports,NFL,45000000
Kobe King,kobe-king,322,VaynerSports,NFL,0
Kool-Aid McKinstry,koolaid-mckinstry,322,VaynerSports,NFL,2289277
Kyle Allen,kyle-allen,322,VaynerSports,NFL,1270000
Lathan Ransom,lathan-ransom,322,VaynerSports,NFL,1289279
Logan Lee,logan-lee,322,VaynerSports,NFL,1060018
Luke Wattenberg,luke-wattenberg,322,VaynerSports,NFL,986930
Michael Badgley,michael-badgley,322,VaynerSports,NFL,1170000
Mike Morris,mike-morris,322,VaynerSports,NFL,1043019
Montana Lemonious-Craig,montana-lemonious-craig,322,VaynerSports,NFL,0
Naquan Jones,naquan-jones,322,VaynerSports,NFL,1835000
Olamide Zaccheaus,olamide-zaccheaus,322,VaynerSports,NFL,1232500
Payton Thorne,payton-thorne,322,VaynerSports,NFL,0
Rashad Weaver,rashad-weaver,322,VaynerSports,NFL,1034916
Sam Hartman,sam-hartman,322,VaynerSports,NFL,0
Sauce Gardner,sauce-gardner,322,VaynerSports,NFL,30100000
Shane Zylstra,shane-zylstra,322,VaynerSports,NFL,1100000
Sonny Styles,sonny-styles,322,VaynerSports,NFL,0
Terell Smith,terell-smith,322,VaynerSports,NFL,1028971
Trevor Siemian,trevor-siemian,322,VaynerSports,NFL,0
Tyler Conklin,tyler-conklin,322,VaynerSports,NFL,3000000
Tyler Nubin,tyler-nubin,322,VaynerSports,NFL,2044180
William Sherman,william-sherman,322,VaynerSports,NFL,922500
Zach Charbonnet,zach-charbonnet,322,VaynerSports,NFL,1719020
Zane Gonzalez,zane-gonzalez,322,VaynerSports,NFL,1170000
