name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Deshaun Watson,QB,Browns,Void,0.0,32.0,46000000.0,230000000.0,CLE,QB,deshaun-watson,28.8,43.6,38.8,10,"['Jared Goff (age 32, $53.0M)', 'Marcus Mariota (age 34, $7.0M)', 'Baker Mayfield (age 32, $33.3M)', 'Dak Prescott (age 33, $60.0M)']","10 comps at QB, age 29.0-35.0"
Matt Stafford,QB,Rams,Void,98.4,39.0,40000000.0,40000000.0,LAR,QB,matt-stafford,7.5,13.6,8.4,5,"['Kirk Cousins (age 39, $11.3M)', 'Joe Flacco (age 42, $6.0M)', 'Jacoby Brissett (age 35, $6.2M)', 'Aaron Rodgers (age 44, $15.5M)']","5 comps at QB, age 36.0-42.0"
Baker Mayfield,QB,Buccaneers,Void,96.9,32.0,33333333.0,40000000.0,TB,QB,baker-mayfield,52.8,66.0,62.4,9,"['Jared Goff (age 32, $53.0M)', 'Dak Prescott (age 33, $60.0M)', 'Patrick Mahomes (age 31, $45.0M)', 'Joe Burrow (age 30, $55.0M)']","9 comps at QB, age 29.0-35.0"
George Pickens,WR,Cowboys,UFA,81.6,26.0,27298000.0,27298000.0,DAL,WR,george-pickens,27.4,34.7,30.5,19,"[""Ja'Marr Chase (age 26, $40.2M)"", 'Garrett Wilson (age 26, $32.5M)', 'Alec Pierce (age 26, $28.5M)', 'Drake London (age 26, $5.4M)']","19 comps at WR, age 23.0-29.0"
DeForest Buckner,IDL,Colts,Void,40.3,33.0,23000000.0,43250000.0,IND,IDL,deforest-buckner,5.6,14.2,8.4,17,"['Davon Godchaux (age 33, $5.5M)', 'Dalvin Tomlinson (age 33, $6.2M)', 'Maliek Collins (age 32, $10.0M)', 'Leonard Williams (age 33, $21.5M)']","17 comps at IDL, age 30.0-36.0"
Andrew Van Ginkel,EDGE,Vikings,Void,54.4,32.0,23000000.0,22440000.0,MIN,EDGE,andrew-van-ginkel,5.2,21.8,10.8,14,"['Al-Quadin Muhammad (age 32, $4.0M)', 'Uchenna Nwosu (age 31, $9.8M)', 'T.J. Watt (age 32, $28.0M)', 'Charles Omenihu (age 30, $4.0M)']","14 comps at EDGE, age 29.0-35.0"
Daron Payne,IDL,Commanders,Void,53.4,30.0,22500000.0,46010000.0,WAS,IDL,daron-payne,7.1,19.3,9.8,14,"['Tedarrell Slaton (age 30, $7.0M)', 'Davon Hamilton (age 30, $11.5M)', 'Harrison Phillips (age 31, $7.5M)', 'Maliek Collins (age 32, $10.0M)']","14 comps at IDL, age 27.0-33.0"
Davante Adams,WR,Rams,Void,55.9,35.0,22000000.0,26000000.0,LAR,WR,davante-adams,4.1,10.8,4.5,4,"['Mack Hollins (age 34, $4.2M)', 'Demarcus Robinson (age 33, $4.0M)', 'Terry McLaurin (age 31, $29.0M)', 'Marquise Brown (age 30, $5.0M)']","4 comps at WR, age 32.0-38.0"
Leonard Williams,IDL,Seahawks,Void,72.0,33.0,21500000.0,26150000.0,SEA,IDL,leonard-williams,8.5,21.3,12.6,17,"['Vita Vea (age 32, $17.8M)', 'Dalvin Tomlinson (age 33, $6.2M)', 'Aaron Donald (age 34, $31.7M)', 'Chris Jones (age 32, $31.8M)']","17 comps at IDL, age 30.0-36.0"
Quenton Nelson,LG,Colts,UFA,96.8,31.0,20000000.0,41000000.0,IND,OL,quenton-nelson,7.2,22.2,15.0,25,"['Hjalte Froholdt (age 31, $6.0M)', 'Kevin Dotson (age 31, $16.0M)', 'Garrett Bradbury (age 32, $4.7M)', 'Jon Runyan, Jr. (age 30, $10.0M)']","25 comps at OL, age 28.0-34.0"
Marlon Humphrey,CB,Ravens,Void,77.5,31.0,19500000.0,39957407.0,BAL,CB,marlon-humphrey,5.6,17.7,8.4,12,"['Marshon Lattimore (age 30, $19.4M)', 'Keisean Nixon (age 30, $6.0M)', 'Kenny Moore (age 32, $10.0M)', 'Donte Jackson (age 32, $6.5M)']","12 comps at CB, age 28.0-34.0"
