Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Deshaun Watson,QB,Browns,,Void,0.00%,32,"$46,000,000 ","$230,000,000 "
Matt Stafford,QB,Rams,,Void,98.40%,39,"$40,000,000 ","$40,000,000 "
Baker Mayfield,QB,Buccaneers,,Void,96.90%,32,"$33,333,333 ","$40,000,000 "
George Pickens,WR,Cowboys,,UFA,81.60%,26,"$27,298,000 ","$27,298,000 "
DeForest Buckner,IDL,Colts,,Void,40.30%,33,"$23,000,000 ","$43,250,000 "
Andrew Van Ginkel,EDGE,Vikings,,Void,54.40%,32,"$23,000,000 ","$22,440,000 "
Daron Payne,IDL,Commanders,,Void,53.40%,30,"$22,500,000 ","$46,010,000 "
Davante Adams,WR,Rams,,Void,55.90%,35,"$22,000,000 ","$26,000,000 "
Leonard Williams,IDL,Seahawks,,Void,72.00%,33,"$21,500,000 ","$26,150,000 "
Quenton Nelson,LG,Colts,,UFA,96.80%,31,"$20,000,000 ","$41,000,000 "
Marlon Humphrey,CB,Ravens,,Void,77.50%,31,"$19,500,000 ","$39,957,407 "
Derwin James,S,Chargers,,UFA,87.90%,31,"$19,000,000 ","$38,584,471 "
Michael Onwenu,RT,Patriots,,UFA,98.90%,30,"$19,000,000 ","$36,500,000 "
Brian O'Neill,RT,Vikings,,UFA,73.30%,32,"$18,500,000 ","$22,576,118 "
Khalil Mack,EDGE,Chargers,,UFA,41.70%,36,"$18,000,000 ","$18,000,000 "
Vita Vea,IDL,Buccaneers,,Void,73.20%,32,"$17,750,000 ","$14,734,440 "
Jessie Bates III,S,Falcons,,Void,98.90%,30,"$16,005,000 ","$36,000,000 "
Kevin Dotson,RG,Rams,,UFA,78.10%,31,"$16,000,000 ","$24,000,000 "
Aaron Rodgers,QB,Steelers,,UFA,89.00%,44,"$15,515,000 ",$0 
Kyle Pitts,TE,Falcons,,UFA,87.70%,27,"$15,045,000 ",$0 
Jaylon Moore,LT,Chiefs,,UFA,38.40%,29,"$15,000,000 ","$21,240,000 "
Arik Armstead,EDGE,Jaguars,,Void,56.50%,34,"$14,500,000 ","$28,000,000 "
Fernando Mendoza,QB,Raiders,,ERFA,0.00%,24,"$14,317,650 ",$0 
Breece Hall,RB,Jets,,UFA,61.10%,26,"$14,293,000 ",$0 
Jonathan Taylor,RB,Colts,,UFA,82.40%,28,"$14,000,000 ","$19,347,556 "
David Bailey,EDGE,Jets,,ERFA,0.00%,24,"$13,668,682 ",$0 
Patrick Queen,LB,Steelers,,UFA,95.50%,28,"$13,666,666 ","$13,840,000 "
Jeremiyah Love,RB,Cardinals,,ERFA,0.00%,22,"$13,255,704 ",$0 
Ben Powers,LG,Broncos,,Void,40.70%,31,"$13,000,000 ","$27,000,000 "
Grover Stewart,IDL,Colts,,UFA,58.70%,34,"$13,000,000 ","$17,990,000 "
Carnell Tate,WR,Titans,,ERFA,0.00%,22,"$12,783,728 ",$0 
Alvin Kamara,RB,Saints,,Void,40.70%,32,"$12,250,000 ","$19,233,333 "
Travis Kelce,TE,Chiefs,,Void,81.00%,38,"$12,000,000 ","$12,000,000 "
Grant Delpit,S,Browns,,Void,95.90%,29,"$12,000,000 ","$14,909,558 "
Tariq Woolen,CB,Eagles,,Void,72.40%,28,"$12,000,000 ","$12,000,000 "
Arvell Reese,EDGE,Giants,,ERFA,0.00%,22,"$11,957,766 ",$0 
Evan Engram,TE,Broncos,,Void,40.20%,33,"$11,500,000 ","$16,500,000 "
Davon Hamilton,IDL,Jaguars,,Void,44.30%,30,"$11,500,000 ","$20,000,000 "
Kirk Cousins,QB,Raiders,,Void,49.50%,39,"$11,300,000 ","$11,300,000 "
Malcolm Koonce,EDGE,Raiders,,UFA,44.50%,29,"$11,010,000 ","$10,500,000 "
Dorance Armstrong Jr.,EDGE,Commanders,,Void,21.00%,30,"$11,000,000 ","$16,125,000 "
Christian Watson,WR,Packers,,Void,39.80%,28,"$11,000,000 ","$6,067,078 "
Justin Fields,QB,Chiefs,,Void,47.80%,28,"$11,000,000 ","$11,000,000 "
K'Lavon Chaisson,EDGE,Commanders,,UFA,62.50%,28,"$11,000,000 ","$10,300,000 "
David Onyemata,IDL,Jets,,Void,57.40%,35,"$10,500,000 ","$9,650,000 "
Mansoor Delane,CB,Chiefs,,ERFA,0.00%,24,"$10,482,841 ",$0 
Frankie Luvu,EDGE,Commanders,,Void,97.20%,31,"$10,333,333 ","$14,625,000 "
T.J. Hockenson,TE,Vikings,,Void,69.00%,30,"$10,250,000 ","$10,150,000 "
Kristian Fulton,CB,Chiefs,,UFA,20.00%,29,"$10,000,000 ","$15,000,000 "
Kenny Moore,CB,Colts,,Void,61.50%,32,"$10,000,000 ","$16,000,000 "
"Jon Runyan, Jr.",LG,Giants,,UFA,95.10%,30,"$10,000,000 ","$17,000,000 "
A'Shawn Robinson,IDL,Buccaneers,,UFA,62.20%,32,"$10,000,000 ","$9,150,000 "
Maliek Collins,IDL,Browns,,Void,44.80%,32,"$10,000,000 ","$13,000,000 "
Uchenna Nwosu,EDGE,Seahawks,,UFA,51.70%,31,"$9,755,000 ","$6,980,000 "
Sonny Styles,LB,Commanders,,ERFA,0.00%,23,"$9,302,898 ",$0 
Kingsley Enagbare,EDGE,Jets,,Void,41.80%,27,"$9,000,000 ","$8,490,000 "
Hunter Henry,TE,Patriots,,UFA,79.40%,33,"$9,000,000 ","$15,800,000 "
Jordyn Brooks,LB,Dolphins,,Void,92.00%,30,"$8,750,000 ","$9,500,000 "
Anthony Richardson,QB,Colts,,UFA,1.30%,25,"$8,498,508 ","$33,994,030 "
Jeremy Chinn,S,Raiders,,UFA,88.50%,29,"$8,129,000 ","$12,250,000 "
Jordyn Tyson,WR,Saints,,ERFA,0.00%,23,"$8,122,956 ",$0 
Spencer Fano,T,Browns,,ERFA,0.00%,23,"$8,063,957 ",$0 
Greg Newsome II,CB,Giants,,UFA,69.10%,27,"$8,000,000 ","$3,000,000 "
Ezra Cleveland,LG,Jaguars,,Void,92.10%,29,"$8,000,000 ","$14,250,000 "
D'Andre Swift,RB,Bears,,UFA,53.80%,28,"$8,000,000 ","$14,000,000 "
Kayvon Thibodeaux,EDGE,Giants,,UFA,44.30%,27,"$7,834,760 ","$31,339,040 "
Francis Mauigoa,T,Giants,,ERFA,0.00%,22,"$7,739,474 ",$0 
Baron Browning,EDGE,Cardinals,,UFA,45.30%,28,"$7,500,000 ","$10,000,000 "
Harrison Phillips,IDL,Jets,,UFA,61.40%,31,"$7,500,000 ","$10,266,667 "
Colby Parkinson,TE,Rams,,UFA,54.70%,28,"$7,500,000 ","$10,250,000 "
Patrick Jones II,EDGE,Panthers,,UFA,15.20%,29,"$7,500,000 ","$10,250,000 "
Blake Cashman,LB,Vikings,,Void,73.80%,31,"$7,500,000 ","$9,475,000 "
