name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Deshaun Watson,QB,Browns,Void,0.0,32.0,46000000.0,230000000.0,CLE,QB,deshaun-watson,33.0,38.0,36.1,7,"['Baker Mayfield (2024, 3yr, $39.3M)', 'Drew Brees (2020, 2yr, $38.0M)', 'Tom Brady (2020, 2yr, $38.0M)', 'Sam Darnold (2025, 3yr, $36.1M)']",7 QB comps in $23.0M-$40.0M band
Matt Stafford,QB,Rams,Void,98.4,39.0,40000000.0,40000000.0,LAR,QB,matt-stafford,31.9,38.0,33.5,9,"['Baker Mayfield (2024, 3yr, $39.3M)', 'Drew Brees (2020, 2yr, $38.0M)', 'Tom Brady (2020, 2yr, $38.0M)', 'Sam Darnold (2025, 3yr, $36.1M)']",9 QB comps in $20.0M-$40.0M band
Baker Mayfield,QB,Buccaneers,Void,96.9,32.0,33333333.0,40000000.0,TB,QB,baker-mayfield,31.9,38.0,33.5,9,"['Geno Smith (2023, 3yr, $33.5M)', 'Jimmy Garoppolo (2023, 3yr, $32.5M)', 'Teddy Bridgewater (2020, 3yr, $31.9M)', 'Sam Darnold (2025, 3yr, $36.1M)']",9 QB comps in $16.7M-$40.0M band
George Pickens,WR,Cowboys,UFA,81.6,26.0,27298000.0,27298000.0,DAL,WR,george-pickens,18.6,30.7,24.8,63,"['Calvin Ridley (2024, 4yr, $27.1M)', 'Michael Pittman, Jr. (2024, 3yr, $27.5M)', 'Diontae Johnson (2022, 2yr, $26.6M)', 'Tyler Lockett (2021, 4yr, $28.6M)']",63 WR comps in $13.6M-$40.0M band
DeForest Buckner,IDL,Colts,Void,40.3,33.0,23000000.0,43250000.0,IND,IDL,deforest-buckner,14.5,26.2,17.3,75,"[""Dre'Mont Jones (2023, 3yr, $23.0M)"", 'Zach Sieler (2025, 3yr, $23.0M)', 'J.J. Watt (2021, 2yr, $23.1M)', 'Ed Oliver (2023, 4yr, $22.8M)']",75 IDL comps in $11.5M-$40.0M band
Andrew Van Ginkel,EDGE,Vikings,Void,54.4,32.0,23000000.0,22440000.0,MIN,EDGE,andrew-van-ginkel,15.8,24.7,20.4,71,"['Dante Fowler Jr. (2020, 3yr, $22.8M)', 'Alex Highsmith (2023, 4yr, $22.8M)', 'John Franklin-Myers (2021, 4yr, $22.7M)', 'Von Miller (2024, 4yr, $22.5M)']",71 EDGE comps in $11.5M-$40.0M band
Daron Payne,IDL,Commanders,Void,53.4,30.0,22500000.0,46010000.0,WAS,IDL,daron-payne,14.3,26.0,17.2,76,"['Ed Oliver (2023, 4yr, $22.8M)', ""Dre'Mont Jones (2023, 3yr, $23.0M)"", 'Zach Sieler (2025, 3yr, $23.0M)', 'J.J. Watt (2021, 2yr, $23.1M)']",76 IDL comps in $11.2M-$40.0M band
Davante Adams,WR,Rams,Void,55.9,35.0,22000000.0,26000000.0,LAR,WR,davante-adams,16.2,30.1,24.2,71,"['Allen Robinson (2022, 3yr, $22.4M)', 'Jakobi Meyers (2025, 3yr, $21.6M)', 'Adam Thielen (2022, 3yr, $21.5M)', 'Stefon Diggs (2025, 3yr, $22.8M)']",71 WR comps in $11.0M-$40.0M band
Leonard Williams,IDL,Seahawks,Void,72.0,33.0,21500000.0,26150000.0,SEA,IDL,leonard-williams,14.0,25.8,17.1,77,"['Osa Odighizuwa (2025, 4yr, $21.6M)', 'Zach Allen (2023, 3yr, $20.4M)', 'Ed Oliver (2023, 4yr, $22.8M)', 'D.J. Reader (2020, 4yr, $20.1M)']",77 IDL comps in $10.8M-$40.0M band
Quenton Nelson,LG,Colts,UFA,96.8,31.0,20000000.0,41000000.0,IND,OL,quenton-nelson,15.1,24.7,20.6,137,"['Jonah Jackson (2024, 3yr, $20.0M)', 'Charles Leno Jr. (2021, 3yr, $20.6M)', 'Corey Linsley (2021, 5yr, $20.6M)', 'Joseph Noteboom (2022, 3yr, $19.3M)']",137 OL comps in $10.0M-$40.0M band
Marlon Humphrey,CB,Ravens,Void,77.5,31.0,19500000.0,39957407.0,BAL,CB,marlon-humphrey,12.9,22.9,17.3,72,"['Charvarius Ward (2022, 3yr, $19.5M)', 'Byron Murphy (2025, 3yr, $19.4M)', 'Carlton Davis (2025, 3yr, $19.4M)', 'Charvarius Ward (2025, 3yr, $19.4M)']",72 CB comps in $9.8M-$40.0M band
Derwin James,S,Chargers,UFA,87.9,31.0,19000000.0,38584471.0,LAC,S,derwin-james,13.9,20.7,16.3,47,"['Budda Baker (2023, 2yr, $18.9M)', 'Quandre Diggs (2022, 3yr, $18.8M)', 'John Johnson (2021, 3yr, $18.6M)', 'Trevon Moehrig (2025, 3yr, $18.3M)']",47 S comps in $9.5M-$40.0M band
Michael Onwenu,RT,Patriots,UFA,98.9,30.0,19000000.0,36500000.0,NE,OL,michael-onwenu,14.5,24.6,19.3,141,"['Will Fries (2025, 5yr, $18.9M)', 'Joe Thuney (2025, 2yr, $18.9M)', 'Kevin Dotson (2024, 3yr, $18.9M)', 'Ryan Kelly (2020, 4yr, $18.9M)']",141 OL comps in $9.5M-$40.0M band
Brian O'Neill,RT,Vikings,UFA,73.3,32.0,18500000.0,22576118.0,MIN,OL,brian-oneill,14.0,24.6,18.9,145,"['Cam Jurgens (2025, 4yr, $18.3M)', 'Cole Van Lanen (2025, 3yr, $18.3M)', 'Ryan Jensen (2022, 3yr, $18.8M)', 'Ryan Kelly (2020, 4yr, $18.9M)']",145 OL comps in $9.2M-$40.0M band
Khalil Mack,EDGE,Chargers,UFA,41.7,36.0,18000000.0,18000000.0,LAC,EDGE,khalil-mack,11.8,23.2,19.0,87,"['Cameron Jordan (2023, 2yr, $17.8M)', 'Chase Young (2025, 3yr, $18.3M)', 'Carl Granderson (2023, 4yr, $17.4M)', 'Dayo Odeyingbo (2025, 3yr, $17.3M)']",87 EDGE comps in $9.0M-$40.0M band
Vita Vea,IDL,Buccaneers,Void,73.2,32.0,17750000.0,14734440.0,TB,IDL,vita-vea,12.3,24.8,15.4,93,"['Jarran Reed (2020, 2yr, $17.5M)', 'Dalvin Tomlinson (2021, 2yr, $17.3M)', 'Jonathan Allen (2025, 3yr, $18.3M)', 'Cameron Heyward (2024, 2yr, $17.1M)']",93 IDL comps in $8.9M-$40.0M band
Jessie Bates III,S,Falcons,Void,98.9,30.0,16005000.0,36000000.0,ATL,S,jessie-bates-iii,9.9,18.7,14.5,62,"['Grant Delpit (2023, 3yr, $16.1M)', 'Micah Hyde (2021, 2yr, $15.9M)', 'Cam Bynum (2025, 4yr, $16.2M)', 'Jevon Holland (2025, 3yr, $16.3M)']",62 S comps in $8.0M-$40.0M band
Kevin Dotson,RG,Rams,UFA,78.1,31.0,16000000.0,24000000.0,LAR,OL,kevin-dotson,12.7,24.0,17.7,159,"['Jonah Jackson (2025, 3yr, $16.0M)', 'Austin Jackson (2023, 3yr, $16.1M)', 'Walker Little (2024, 3yr, $15.9M)', 'Colton McKivitz (2025, 3yr, $16.2M)']",159 OL comps in $8.0M-$40.0M band
Aaron Rodgers,QB,Steelers,UFA,89.0,44.0,15515000.0,0.0,PIT,QB,aaron-rodgers,12.2,32.5,16.0,17,"['Taysom Hill (2020, 2yr, $16.0M)', 'Gardner Minshew (2024, 2yr, $14.7M)', 'Marcus Mariota (2022, 2yr, $13.6M)', 'Marcus Mariota (2020, 2yr, $13.4M)']",17 QB comps in $7.8M-$38.8M band
Kyle Pitts,TE,Falcons,UFA,87.7,27.0,15045000.0,0.0,ATL,TE,kyle-pitts,9.7,18.7,12.3,50,"['Zach Ertz (2022, 3yr, $15.3M)', 'Pat Freiermuth (2024, 4yr, $14.3M)', 'Dalton Schultz (2024, 3yr, $14.2M)', 'Austin Hooper (2020, 4yr, $16.0M)']",50 TE comps in $7.5M-$37.6M band
Jaylon Moore,LT,Chiefs,UFA,38.4,29.0,15000000.0,21240000.0,KC,OL,jaylon-moore,11.8,23.7,16.9,166,"['Drew Dalman (2025, 3yr, $15.1M)', 'Terron Armstead (2024, 3yr, $15.2M)', 'Bryan Bulaga (2020, 3yr, $15.2M)', 'Ereck Flowers (2020, 3yr, $15.2M)']",166 OL comps in $7.5M-$37.5M band
Arik Armstead,EDGE,Jaguars,Void,56.5,34.0,14500000.0,28000000.0,JAX,EDGE,arik-armstead,11.5,22.5,17.3,91,"['Preston Smith (2024, 3yr, $14.7M)', 'Matt Judon (2023, 2yr, $15.1M)', 'Shaq Lawson (2020, 3yr, $15.2M)', 'Uchenna Nwosu (2022, 2yr, $13.8M)']",91 EDGE comps in $7.2M-$36.2M band
Breece Hall,RB,Jets,UFA,61.1,26.0,14293000.0,0.0,NYJ,RB,breece-hall,9.1,16.0,10.8,42,"['Josh Jacobs (2024, 4yr, $14.2M)', 'Alvin Kamara (2024, 2yr, $14.4M)', 'Saquon Barkley (2024, 3yr, $14.8M)', 'Aaron Jones (2023, 2yr, $15.4M)']",42 RB comps in $7.1M-$35.7M band
Jonathan Taylor,RB,Colts,UFA,82.4,28.0,14000000.0,19347556.0,IND,RB,jonathan-taylor,9.1,16.0,10.8,42,"['Josh Jacobs (2024, 4yr, $14.2M)', 'Alvin Kamara (2024, 2yr, $14.4M)', 'Saquon Barkley (2024, 3yr, $14.8M)', 'Aaron Jones (2023, 2yr, $15.4M)']",42 RB comps in $7.0M-$35.0M band
Patrick Queen,LB,Steelers,UFA,95.5,28.0,13666666.0,13840000.0,PIT,LB,patrick-queen,8.7,15.8,11.2,70,"['Demario Davis (2020, 3yr, $13.7M)', 'Demario Davis (2022, 3yr, $13.5M)', 'Bobby Okereke (2023, 4yr, $13.4M)', 'Azeez Al-Shaair (2024, 3yr, $13.4M)']",70 LB comps in $6.8M-$34.2M band
Ben Powers,LG,Broncos,Void,40.7,31.0,13000000.0,27000000.0,DEN,OL,ben-powers,10.1,22.6,16.0,174,"['Andre Dillard (2023, 3yr, $13.0M)', 'Luke Wattenberg (2025, 4yr, $12.9M)', 'Daryl Williams (2021, 3yr, $13.2M)', 'James Daniels (2022, 3yr, $12.8M)']",174 OL comps in $6.5M-$32.5M band
Grover Stewart,IDL,Colts,UFA,58.7,34.0,13000000.0,17990000.0,IND,IDL,grover-stewart,9.4,20.4,13.7,114,"['D.J. Reader (2024, 2yr, $13.0M)', ""A'Shawn Robinson (2020, 2yr, $12.9M)"", 'Linval Joseph (2020, 2yr, $12.9M)', 'Roy Robertson-Harris (2021, 3yr, $12.9M)']",114 IDL comps in $6.5M-$32.5M band
Alvin Kamara,RB,Saints,Void,40.7,32.0,12250000.0,19233333.0,NO,RB,alvin-kamara,8.8,15.4,10.6,45,"['Melvin Gordon (2020, 2yr, $12.2M)', 'James Cook (2025, 4yr, $12.4M)', 'Kyren Williams (2025, 3yr, $11.9M)', 'Joe Mixon (2024, 2yr, $11.6M)']",45 RB comps in $6.1M-$30.6M band
Travis Kelce,TE,Chiefs,Void,81.0,38.0,12000000.0,12000000.0,KC,TE,travis-kelce,9.0,17.6,11.6,55,"['Jimmy Graham (2020, 2yr, $12.2M)', 'Noah Fant (2024, 2yr, $12.4M)', 'Dawson Knox (2024, 3yr, $11.6M)', 'Evan Engram (2025, 2yr, $12.4M)']",55 TE comps in $6.0M-$30.0M band
Grant Delpit,S,Browns,Void,95.9,29.0,12000000.0,14909558.0,CLE,S,grant-delpit,8.7,17.8,13.0,74,"['Tracy Walker (2022, 3yr, $12.1M)', 'Malcolm Jenkins (2020, 4yr, $12.2M)', 'Justin Reid (2025, 3yr, $11.3M)', 'Josh Metellus (2025, 3yr, $12.9M)']",74 S comps in $6.0M-$30.0M band
Tariq Woolen,CB,Eagles,Void,72.4,28.0,12000000.0,12000000.0,PHI,CB,tariq-woolen,11.0,21.4,14.6,82,"['Janoris Jenkins (2020, 2yr, $12.0M)', 'Chidobe Awuzie (2021, 3yr, $12.0M)', 'Michael Carter II (2024, 3yr, $12.1M)', 'Taron Johnson (2024, 3yr, $12.1M)']",82 CB comps in $6.0M-$30.0M band
Evan Engram,TE,Broncos,Void,40.2,33.0,11500000.0,16500000.0,DEN,TE,evan-engram,8.8,17.2,11.6,56,"['C.J. Uzomah (2022, 3yr, $11.6M)', 'Will Dissly (2022, 3yr, $11.6M)', 'Dawson Knox (2024, 3yr, $11.6M)', 'Tyler Higbee (2023, 2yr, $11.4M)']",56 TE comps in $5.8M-$28.8M band
Davon Hamilton,IDL,Jaguars,Void,44.3,30.0,11500000.0,20000000.0,JAX,IDL,davon-hamilton,8.8,16.2,12.5,112,"['Sebastian Joseph-Day (2022, 3yr, $11.6M)', 'Vernon Butler (2020, 2yr, $11.4M)', 'Justin Jones (2024, 3yr, $11.9M)', 'B.J. Hill (2025, 3yr, $11.9M)']",112 IDL comps in $5.8M-$28.8M band
Kirk Cousins,QB,Raiders,Void,49.5,39.0,11300000.0,11300000.0,LV,QB,kirk-cousins,6.8,13.5,9.2,18,"['Mitchell Trubisky (2022, 2yr, $10.7M)', 'Nick Foles (2020, 3yr, $12.2M)', 'Taylor Heinicke (2023, 2yr, $9.4M)', 'Marcus Mariota (2020, 2yr, $13.4M)']",18 QB comps in $5.7M-$28.2M band
Malcolm Koonce,EDGE,Raiders,UFA,44.5,29.0,11010000.0,10500000.0,LV,EDGE,malcolm-koonce,9.4,20.3,14.3,92,"['Carlos Dunlap (2021, 2yr, $11.2M)', 'Charles Omenihu (2023, 2yr, $10.7M)', 'Samson Ebukam (2023, 3yr, $10.7M)', 'Emmanuel Ogbah (2020, 2yr, $11.4M)']",92 EDGE comps in $5.5M-$27.5M band
Dorance Armstrong Jr.,EDGE,Commanders,Void,21.0,30.0,11000000.0,16125000.0,WAS,EDGE,dorance-armstrong-jr,9.4,20.3,14.3,92,"['Carlos Dunlap (2021, 2yr, $11.2M)', 'Charles Omenihu (2023, 2yr, $10.7M)', 'Samson Ebukam (2023, 3yr, $10.7M)', 'Yetur Gross-Matos (2024, 2yr, $10.6M)']",92 EDGE comps in $5.5M-$27.5M band
Christian Watson,WR,Packers,Void,39.8,28.0,11000000.0,6067078.0,GB,WR,christian-watson,10.3,21.5,14.7,61,"['Adam Thielen (2023, 3yr, $11.2M)', 'Josh Palmer (2025, 3yr, $10.8M)', 'Cedrick Wilson Jr. (2022, 3yr, $10.6M)', 'JuJu Smith-Schuster (2023, 3yr, $11.4M)']",61 WR comps in $5.5M-$27.5M band
Justin Fields,QB,Chiefs,Void,47.8,28.0,11000000.0,11000000.0,KC,QB,justin-fields,6.8,13.5,9.2,18,"['Mitchell Trubisky (2022, 2yr, $10.7M)', 'Nick Foles (2020, 3yr, $12.2M)', 'Taylor Heinicke (2023, 2yr, $9.4M)', 'Case Keenum (2020, 3yr, $9.1M)']",18 QB comps in $5.5M-$27.5M band
K'Lavon Chaisson,EDGE,Commanders,UFA,62.5,28.0,11000000.0,10300000.0,WAS,EDGE,klavon-chaisson,9.4,20.3,14.3,92,"['Carlos Dunlap (2021, 2yr, $11.2M)', 'Charles Omenihu (2023, 2yr, $10.7M)', 'Samson Ebukam (2023, 3yr, $10.7M)', 'Yetur Gross-Matos (2024, 2yr, $10.6M)']",92 EDGE comps in $5.5M-$27.5M band
David Onyemata,IDL,Jets,Void,57.4,35.0,10500000.0,9650000.0,NYJ,IDL,david-onyemata,7.9,15.4,11.4,113,"['Davon Godchaux (2024, 2yr, $10.6M)', 'Quinton Jefferson (2020, 2yr, $10.3M)', 'Maliek Collins (2025, 2yr, $10.8M)', 'Poona Ford (2021, 2yr, $10.2M)']",113 IDL comps in $5.2M-$26.2M band
Frankie Luvu,EDGE,Commanders,Void,97.2,31.0,10333333.0,14625000.0,WAS,EDGE,frankie-luvu,9.3,20.1,13.3,92,"['Uchenna Nwosu (2025, 2yr, $10.5M)', 'Devon Kennard (2020, 4yr, $10.1M)', 'Derek Barnett (2022, 2yr, $10.1M)', 'Yetur Gross-Matos (2024, 2yr, $10.6M)']",92 EDGE comps in $5.2M-$25.8M band
T.J. Hockenson,TE,Vikings,Void,69.0,30.0,10250000.0,10150000.0,MIN,TE,tj-hockenson,8.1,16.2,10.7,63,"['Jonnu Smith (2023, 2yr, $10.0M)', 'Cameron Brate (2021, 3yr, $9.9M)', 'Kyle Rudolph (2021, 2yr, $9.9M)', 'Hunter Henry (2024, 3yr, $10.6M)']",63 TE comps in $5.1M-$25.6M band
Kristian Fulton,CB,Chiefs,UFA,20.0,29.0,10000000.0,15000000.0,KC,CB,kristian-fulton,7.9,17.3,12.9,83,"['Sean Murphy-Bunting (2024, 3yr, $10.0M)', 'Jalen Mills (2021, 4yr, $9.9M)', 'Mike Hilton (2021, 4yr, $9.9M)', 'Rasul Douglas (2022, 3yr, $10.1M)']",83 CB comps in $5.0M-$25.0M band
Kenny Moore,CB,Colts,Void,61.5,32.0,10000000.0,16000000.0,IND,CB,kenny-moore,7.9,17.3,12.9,83,"['Sean Murphy-Bunting (2024, 3yr, $10.0M)', 'Jalen Mills (2021, 4yr, $9.9M)', 'Mike Hilton (2021, 4yr, $9.9M)', 'Rasul Douglas (2022, 3yr, $10.1M)']",83 CB comps in $5.0M-$25.0M band
"Jon Runyan, Jr.",LG,Giants,UFA,95.1,30.0,10000000.0,17000000.0,NYG,OL,jon-runyan-jr,7.9,18.8,12.9,170,"['Connor McGovern (2023, 3yr, $10.0M)', 'Ben Jones (2022, 2yr, $10.1M)', ""La'el Collins (2022, 3yr, $10.1M)"", 'Connor Williams (2022, 2yr, $10.2M)']",170 OL comps in $5.0M-$25.0M band
A'Shawn Robinson,IDL,Buccaneers,UFA,62.2,32.0,10000000.0,9150000.0,TB,IDL,ashawn-robinson,7.6,15.0,10.3,113,"['Poona Ford (2025, 3yr, $9.9M)', 'Austin Johnson (2022, 2yr, $10.1M)', 'DaQuan Jones (2022, 2yr, $10.1M)', 'Poona Ford (2021, 2yr, $10.2M)']",113 IDL comps in $5.0M-$25.0M band
Maliek Collins,IDL,Browns,Void,44.8,32.0,10000000.0,13000000.0,CLE,IDL,maliek-collins,7.6,15.0,10.3,113,"['Poona Ford (2025, 3yr, $9.9M)', 'Austin Johnson (2022, 2yr, $10.1M)', 'DaQuan Jones (2022, 2yr, $10.1M)', 'Poona Ford (2021, 2yr, $10.2M)']",113 IDL comps in $5.0M-$25.0M band
Uchenna Nwosu,EDGE,Seahawks,UFA,51.7,31.0,9755000.0,6980000.0,SEA,EDGE,uchenna-nwosu,9.1,19.4,12.2,89,"['Samson Ebukam (2021, 2yr, $9.9M)', 'Stephen Weatherly (2020, 2yr, $9.5M)', 'Mike Danna (2024, 3yr, $9.4M)', 'Charles Harris (2022, 2yr, $9.4M)']",89 EDGE comps in $4.9M-$24.4M band
Kingsley Enagbare,EDGE,Jets,Void,41.8,27.0,9000000.0,8490000.0,NYJ,EDGE,kingsley-enagbare,8.1,17.3,11.7,87,"['Deatrich Wise (2021, 4yr, $9.1M)', 'Tyus Bowser (2021, 4yr, $9.1M)', 'Rodney Gunter (2020, 3yr, $9.1M)', 'Dorance Armstrong Jr. (2022, 2yr, $8.7M)']",87 EDGE comps in $4.5M-$22.5M band
Hunter Henry,TE,Patriots,UFA,79.4,33.0,9000000.0,15800000.0,NE,TE,hunter-henry,6.8,13.8,9.7,67,"['Eric Ebron (2020, 2yr, $9.1M)', 'Colby Parkinson (2024, 3yr, $8.8M)', 'Mike Gesicki (2025, 3yr, $9.2M)', 'Gerald Everett (2022, 2yr, $8.7M)']",67 TE comps in $4.5M-$22.5M band
Jordyn Brooks,LB,Dolphins,Void,92.0,30.0,8750000.0,9500000.0,MIA,LB,jordyn-brooks,7.2,12.6,9.0,84,"['T.J. Edwards (2023, 3yr, $8.7M)', 'Blake Cashman (2024, 3yr, $8.8M)', 'Pete Werner (2024, 3yr, $8.8M)', 'Derrick Barnes (2025, 3yr, $8.6M)']",84 LB comps in $4.4M-$21.9M band
Anthony Richardson,QB,Colts,UFA,1.3,25.0,8498508.0,33994030.0,IND,QB,anthony-richardson,5.4,10.7,6.7,25,"['Tyrod Taylor (2022, 2yr, $8.0M)', 'Case Keenum (2020, 3yr, $9.1M)', 'Taylor Heinicke (2023, 2yr, $9.4M)', 'Mitchell Trubisky (2023, 2yr, $7.5M)']",25 QB comps in $4.2M-$21.2M band
Jeremy Chinn,S,Raiders,UFA,88.5,29.0,8129000.0,12250000.0,LV,S,jeremy-chinn,6.4,14.4,9.1,80,"['Tyrann Mathieu (2024, 2yr, $8.1M)', 'Julian Love (2023, 2yr, $8.0M)', 'Marcus Epps (2023, 2yr, $8.0M)', 'Geno Stone (2024, 2yr, $8.3M)']",80 S comps in $4.1M-$20.3M band
Greg Newsome II,CB,Giants,UFA,69.1,27.0,8000000.0,3000000.0,NYG,CB,greg-newsome-ii,6.5,14.5,10.8,77,"['Casey Hayward (2022, 2yr, $8.0M)', 'Anthony Brown (2020, 3yr, $7.9M)', 'Emmanuel Moseley (2021, 2yr, $7.7M)', 'Cameron Sutton (2021, 2yr, $7.4M)']",77 CB comps in $4.0M-$20.0M band
Ezra Cleveland,LG,Jaguars,Void,92.1,29.0,8000000.0,14250000.0,JAX,OL,ezra-cleveland,7.0,14.5,9.7,140,"['Bradley Bozeman (2023, 3yr, $8.0M)', 'Ethan Pocic (2023, 3yr, $8.0M)', 'Jon Feliciano (2021, 3yr, $7.9M)', 'Ben Bredeson (2025, 3yr, $7.9M)']",140 OL comps in $4.0M-$20.0M band
D'Andre Swift,RB,Bears,UFA,53.8,28.0,8000000.0,14000000.0,CHI,RB,dandre-swift,5.4,10.8,8.6,61,"['David Montgomery (2023, 3yr, $8.0M)', 'Joe Mixon (2023, 2yr, $7.7M)', 'Cordarrelle Patterson (2022, 2yr, $7.6M)', 'Miles Sanders (2023, 4yr, $8.5M)']",61 RB comps in $4.0M-$20.0M band
